 Ense  Average  Radius of gyration   =  16.41
 Ense Histogram Radius of gyration   =  16.25
 Pool  Average  Radius of gyration   =   0.00
 Pool Histogram Radius of gyration   =  14.78
            Rg     Pool freq.    Sel. freq.
        9.07  0.0000000000  0.0000000000
        9.35  0.0004200000  0.0000000000
        9.63  0.0009800000  0.0000000000
        9.91  0.0021800000  0.0000000000
       10.19  0.0039400000  0.0004662005
       10.47  0.0066000000  0.0004662005
       10.75  0.0098400000  0.0044289044
       11.03  0.0138200000  0.0044289044
       11.31  0.0181600000  0.0046620047
       11.59  0.0231000000  0.0137529138
       11.87  0.0276800000  0.0270396270
       12.15  0.0328000000  0.0242424242
       12.43  0.0374800000  0.0442890443
       12.71  0.0405200000  0.0440559441
       12.99  0.0432200000  0.0512820513
       13.27  0.0453000000  0.0379953380
       13.55  0.0456200000  0.0379953380
       13.83  0.0454600000  0.0179487179
       14.12  0.0463600000  0.0191142191
       14.40  0.0461600000  0.0034965035
       14.68  0.0451400000  0.0039627040
       14.96  0.0445200000  0.0027972028
       15.24  0.0430000000  0.0205128205
       15.52  0.0410600000  0.0324009324
       15.80  0.0388800000  0.0312354312
       16.08  0.0366200000  0.0321678322
       16.36  0.0342400000  0.0384615385
       16.64  0.0314800000  0.0296037296
       16.92  0.0286000000  0.0296037296
       17.20  0.0256600000  0.0328671329
       17.48  0.0226200000  0.0321678322
       17.76  0.0197000000  0.0305361305
       18.04  0.0175200000  0.0240093240
       18.32  0.0149000000  0.0272727273
       18.60  0.0124800000  0.0317016317
       18.88  0.0110200000  0.0424242424
       19.16  0.0091800000  0.0522144522
       19.44  0.0075600000  0.0515151515
       19.72  0.0059400000  0.0354312354
       20.00  0.0050000000  0.0326340326
       20.28  0.0038400000  0.0212121212
       20.56  0.0029600000  0.0076923077
       20.84  0.0021800000  0.0060606061
       21.12  0.0020000000  0.0074592075
       21.40  0.0014200000  0.0025641026
       21.68  0.0009400000  0.0025641026
       21.96  0.0006600000  0.0016317016
       22.24  0.0004600000  0.0016317016
       22.52  0.0002600000  0.0000000000
       22.80  0.0001400000  0.0000000000
       23.08  0.0001200000  0.0000000000
       23.36  0.0000600000  0.0000000000
       23.64  0.0000600000  0.0000000000
       23.92  0.0000000000  0.0000000000
