 Ense  Average  Volume               =    3380.29
 Ense  Average  Volume               =    3350.67
 Pool  Average  Volume               =       0.00
 Pool Histogram Volume               =    2838.31
     Volume    Pool freq.    Sel. freq.
     1256.41  0.0000000000  0.0000000000
     1318.01  0.0000200000  0.0000000000
     1379.61  0.0000600000  0.0000000000
     1441.22  0.0001800000  0.0000000000
     1502.82  0.0002800000  0.0000000000
     1564.42  0.0006000000  0.0000000000
     1626.02  0.0009400000  0.0000000000
     1687.62  0.0013400000  0.0000000000
     1749.22  0.0020600000  0.0000000000
     1810.83  0.0033200000  0.0000000000
     1872.43  0.0049600000  0.0000000000
     1934.03  0.0068000000  0.0000000000
     1995.63  0.0096800000  0.0000000000
     2057.23  0.0130200000  0.0000000000
     2118.84  0.0168600000  0.0000000000
     2180.44  0.0210600000  0.0000000000
     2242.04  0.0252400000  0.0004662005
     2303.64  0.0293400000  0.0009324009
     2365.24  0.0336600000  0.0013986014
     2426.84  0.0374600000  0.0018648019
     2488.45  0.0416400000  0.0079254079
     2550.05  0.0448800000  0.0146853147
     2611.65  0.0488000000  0.0186480186
     2673.25  0.0517200000  0.0491841492
     2734.85  0.0532800000  0.0668997669
     2796.46  0.0529600000  0.0608391608
     2858.06  0.0529800000  0.0543123543
     2919.66  0.0506200000  0.0682983683
     2981.26  0.0480600000  0.0494172494
     3042.86  0.0466400000  0.0319347319
     3104.46  0.0439000000  0.0328671329
     3166.07  0.0403400000  0.0447552448
     3227.67  0.0372400000  0.0312354312
     3289.27  0.0328200000  0.0207459207
     3350.87  0.0283000000  0.0200466200
     3412.47  0.0243600000  0.0275058275
     3474.07  0.0206800000  0.0195804196
     3535.68  0.0168800000  0.0163170163
     3597.28  0.0139200000  0.0179487179
     3658.88  0.0105800000  0.0200466200
     3720.48  0.0082200000  0.0130536131
     3782.08  0.0066800000  0.0142191142
     3843.69  0.0049800000  0.0254079254
     3905.29  0.0038400000  0.0240093240
     3966.89  0.0027400000  0.0321678322
     4028.49  0.0019200000  0.0386946387
     4090.09  0.0013000000  0.0368298368
     4151.69  0.0010400000  0.0389277389
     4213.30  0.0007000000  0.0370629371
     4274.90  0.0005400000  0.0270396270
     4336.50  0.0003600000  0.0191142191
     4398.10  0.0001400000  0.0151515152
     4459.70  0.0000200000  0.0002331002
     4521.31  0.0000000000  0.0000000000
