 Ense  Average  Ca(N)-Ca(C) distance =  38.66
 Ense  Average  Ca(N)-Ca(C) distance =  37.87
 Pool  Average  Ca(N)-Ca(C) distance =   0.00
 Pool Histogram Ca(N)-Ca(C) distance =  33.56
    Distance    Pool freq.    Sel. freq.
        1.14  0.0000000000  0.0000000000
        2.56  0.0006000000  0.0000000000
        3.99  0.0012800000  0.0000000000
        5.41  0.0020800000  0.0000000000
        6.84  0.0034600000  0.0009324009
        8.26  0.0050400000  0.0009324009
        9.69  0.0070800000  0.0076923077
       11.11  0.0094600000  0.0093240093
       12.54  0.0122600000  0.0093240093
       13.96  0.0152600000  0.0228438228
       15.38  0.0179800000  0.0228438228
       16.81  0.0205400000  0.0165501166
       18.23  0.0231600000  0.0149184149
       19.66  0.0259200000  0.0170163170
       21.08  0.0289600000  0.0079254079
       22.51  0.0326800000  0.0086247086
       23.93  0.0353400000  0.0158508159
       25.36  0.0382400000  0.0209790210
       26.78  0.0411400000  0.0219114219
       28.21  0.0425000000  0.0207459207
       29.63  0.0435800000  0.0284382284
       31.05  0.0445000000  0.0324009324
       32.48  0.0445600000  0.0296037296
       33.90  0.0440800000  0.0319347319
       35.33  0.0438800000  0.0568764569
       36.75  0.0421800000  0.0531468531
       38.18  0.0417800000  0.0517482517
       39.60  0.0402400000  0.0559440559
       41.03  0.0379800000  0.0543123543
       42.45  0.0352200000  0.0405594406
       43.87  0.0325800000  0.0396270396
       45.30  0.0290000000  0.0482517483
       46.72  0.0258400000  0.0419580420
       48.15  0.0229200000  0.0412587413
       49.57  0.0197800000  0.0258741259
       51.00  0.0174800000  0.0226107226
       52.42  0.0149000000  0.0184149184
       53.85  0.0128800000  0.0195804196
       55.27  0.0106800000  0.0184149184
       56.69  0.0089400000  0.0184149184
       58.12  0.0068600000  0.0179487179
       59.54  0.0053600000  0.0081585082
       60.97  0.0037200000  0.0076923077
       62.39  0.0025000000  0.0058275058
       63.82  0.0016800000  0.0058275058
       65.24  0.0012000000  0.0058275058
       66.67  0.0007400000  0.0009324009
       68.09  0.0005400000  0.0000000000
       69.51  0.0004200000  0.0000000000
       70.94  0.0003200000  0.0000000000
       72.36  0.0002200000  0.0000000000
       73.79  0.0001600000  0.0000000000
       75.21  0.0000800000  0.0000000000
       76.64  0.0000000000  0.0000000000
