 Ense  Average  Ca(N)-Ca(C) distance =  36.88
 Ense  Average  Ca(N)-Ca(C) distance =  36.25
 Pool  Average  Ca(N)-Ca(C) distance =   0.00
 Pool Histogram Ca(N)-Ca(C) distance =  33.60
    Distance    Pool freq.    Sel. freq.
        1.23  0.0000000000  0.0000000000
        2.61  0.0005800000  0.0000000000
        4.00  0.0013400000  0.0000000000
        5.38  0.0020800000  0.0000000000
        6.77  0.0033400000  0.0006968641
        8.15  0.0044200000  0.0009291521
        9.54  0.0065000000  0.0141695703
       10.92  0.0085200000  0.0141695703
       12.31  0.0114000000  0.0271777003
       13.69  0.0140800000  0.0274099884
       15.08  0.0173000000  0.0301974448
       16.46  0.0194200000  0.0253193961
       17.85  0.0220800000  0.0285714286
       19.23  0.0246400000  0.0160278746
       20.62  0.0277200000  0.0209059233
       22.00  0.0309600000  0.0202090592
       23.39  0.0338000000  0.0139372822
       24.78  0.0363400000  0.0106852497
       26.16  0.0384400000  0.0125435540
       27.55  0.0400600000  0.0067363531
       28.93  0.0412600000  0.0204413473
       30.32  0.0425400000  0.0199767712
       31.70  0.0422400000  0.0209059233
       33.09  0.0424600000  0.0192799071
       34.47  0.0421600000  0.0315911731
       35.86  0.0408000000  0.0229965157
       37.24  0.0402200000  0.0304297329
       38.63  0.0399000000  0.0308943089
       40.01  0.0386200000  0.0483159117
       41.40  0.0365400000  0.0459930314
       42.78  0.0345000000  0.0641114983
       44.17  0.0317400000  0.0643437863
       45.55  0.0286600000  0.0771196283
       46.94  0.0257400000  0.0620209059
       48.32  0.0228000000  0.0527293844
       49.71  0.0200600000  0.0334494774
       51.10  0.0171200000  0.0241579559
       52.48  0.0148200000  0.0104529617
       53.87  0.0123000000  0.0076655052
       55.25  0.0102200000  0.0104529617
       56.64  0.0083000000  0.0044134727
       58.02  0.0067400000  0.0055749129
       59.41  0.0052000000  0.0053426249
       60.79  0.0038800000  0.0069686411
       62.18  0.0028000000  0.0034843206
       63.56  0.0020000000  0.0032520325
       64.95  0.0012600000  0.0020905923
       66.33  0.0008600000  0.0018583043
       67.72  0.0004200000  0.0000000000
       69.10  0.0002800000  0.0000000000
       70.49  0.0001800000  0.0000000000
       71.87  0.0000800000  0.0000000000
       73.26  0.0000400000  0.0000000000
       74.65  0.0000000000  0.0000000000
