 Ense  Average  Volume               =    3285.95
 Ense  Average  Volume               =    3255.42
 Pool  Average  Volume               =       0.00
 Pool Histogram Volume               =    2823.23
     Volume    Pool freq.    Sel. freq.
     1310.61  0.0000000000  0.0000000000
     1374.65  0.0000800000  0.0000000000
     1438.68  0.0002000000  0.0000000000
     1502.71  0.0003600000  0.0000000000
     1566.74  0.0006600000  0.0000000000
     1630.77  0.0010800000  0.0000000000
     1694.81  0.0016600000  0.0000000000
     1758.84  0.0027400000  0.0000000000
     1822.87  0.0040200000  0.0000000000
     1886.90  0.0058000000  0.0000000000
     1950.94  0.0083400000  0.0000000000
     2014.97  0.0117800000  0.0000000000
     2079.00  0.0154000000  0.0000000000
     2143.03  0.0200000000  0.0013937282
     2207.06  0.0247600000  0.0013937282
     2271.10  0.0294200000  0.0016260163
     2335.13  0.0343000000  0.0018583043
     2399.16  0.0397600000  0.0097560976
     2463.19  0.0446600000  0.0118466899
     2527.23  0.0488400000  0.0171893148
     2591.26  0.0521200000  0.0320557491
     2655.29  0.0539200000  0.0455284553
     2719.32  0.0538400000  0.0401858304
     2783.35  0.0532200000  0.0387921022
     2847.39  0.0519800000  0.0796747967
     2911.42  0.0513800000  0.0659698026
     2975.45  0.0494600000  0.0747967480
     3039.48  0.0477200000  0.0792102207
     3103.51  0.0444600000  0.0845528455
     3167.55  0.0409800000  0.0418118467
     3231.58  0.0361400000  0.0406504065
     3295.61  0.0321400000  0.0195121951
     3359.64  0.0275200000  0.0127758420
     3423.68  0.0233800000  0.0069686411
     3487.71  0.0196400000  0.0060394890
     3551.74  0.0162000000  0.0069686411
     3615.77  0.0127400000  0.0074332172
     3679.80  0.0101000000  0.0076655052
     3743.84  0.0079600000  0.0090592334
     3807.87  0.0061400000  0.0141695703
     3871.90  0.0046000000  0.0255516841
     3935.93  0.0034600000  0.0339140534
     3999.96  0.0024400000  0.0348432056
     4064.00  0.0017600000  0.0320557491
     4128.03  0.0010600000  0.0243902439
     4192.06  0.0005600000  0.0118466899
     4256.09  0.0003800000  0.0095238095
     4320.13  0.0002600000  0.0118466899
     4384.16  0.0001600000  0.0116144019
     4448.19  0.0001400000  0.0153310105
     4512.22  0.0001200000  0.0153310105
     4576.25  0.0000800000  0.0074332172
     4640.29  0.0000200000  0.0037166086
     4704.32  0.0000000000  0.0000000000
