 Ense  Average  Radius of gyration   =  16.34
 Ense Histogram Radius of gyration   =  16.17
 Pool  Average  Radius of gyration   =   0.00
 Pool Histogram Radius of gyration   =  14.75
            Rg     Pool freq.    Sel. freq.
        8.91  0.0000000000  0.0000000000
        9.19  0.0001200000  0.0000000000
        9.47  0.0007000000  0.0000000000
        9.75  0.0016400000  0.0000000000
       10.03  0.0028800000  0.0002322880
       10.31  0.0053200000  0.0002322880
       10.59  0.0086200000  0.0016260163
       10.87  0.0118600000  0.0085946574
       11.15  0.0164800000  0.0102206736
       11.43  0.0214400000  0.0150987224
       11.71  0.0263600000  0.0297328688
       11.99  0.0309800000  0.0306620209
       12.27  0.0354800000  0.0336817654
       12.55  0.0384400000  0.0332171893
       12.83  0.0413400000  0.0318234611
       13.11  0.0431400000  0.0176538908
       13.39  0.0446200000  0.0169570267
       13.67  0.0455800000  0.0083623693
       13.95  0.0467200000  0.0153310105
       14.23  0.0465800000  0.0218350755
       14.51  0.0462000000  0.0360046458
       14.79  0.0458000000  0.0362369338
       15.07  0.0437800000  0.0420441347
       15.35  0.0414000000  0.0343786295
       15.63  0.0390400000  0.0274099884
       15.91  0.0372800000  0.0144018583
       16.19  0.0339800000  0.0139372822
       16.47  0.0320200000  0.0141695703
       16.75  0.0292800000  0.0141695703
       17.03  0.0269800000  0.0355400697
       17.31  0.0235600000  0.0411149826
       17.60  0.0213600000  0.0501742160
       17.88  0.0190600000  0.0443670151
       18.16  0.0167800000  0.0543554007
       18.44  0.0142400000  0.0434378630
       18.72  0.0123600000  0.0387921022
       19.00  0.0100400000  0.0353077816
       19.28  0.0082800000  0.0392566783
       19.56  0.0067800000  0.0301974448
       19.84  0.0057600000  0.0222996516
       20.12  0.0046200000  0.0209059233
       20.40  0.0036200000  0.0141695703
       20.68  0.0026600000  0.0088269454
       20.96  0.0020600000  0.0074332172
       21.24  0.0014400000  0.0016260163
       21.52  0.0008600000  0.0004645761
       21.80  0.0006600000  0.0009291521
       22.08  0.0005000000  0.0006968641
       22.36  0.0004000000  0.0006968641
       22.64  0.0003000000  0.0006968641
       22.92  0.0002400000  0.0006968641
       23.20  0.0002000000  0.0000000000
       23.48  0.0000800000  0.0000000000
       23.76  0.0000000000  0.0000000000
